,FEDFUNDS,construction_materials,Income,Total Units,Inflation,Unemployment,Year,Month,CSUSHPISA
0,1.0,150.0,11051.2,1709.0,1.949813,5.1,2004,1,141.64600000000002
1,1.01,153.4,11071.0,1718.0,2.037157,5.0,2004,2,143.191
2,1.0,156.5,11115.6,1794.0,2.126567,5.2,2004,3,145.058
3,1.0,160.1,11153.3,1938.0,2.247883,5.0,2004,4,146.592
4,1.0,162.7,11208.9,1893.0,2.228612,5.0,2004,5,148.185
5,1.03,162.0,11215.8,1857.0,2.370793,5.1,2004,6,149.85
6,1.26,162.2,11240.5,1881.0,2.254997,4.9,2004,7,151.33700000000002
7,1.43,165.9,11274.6,1911.0,2.249671,4.8,2004,8,152.63299999999998
8,1.61,167.2,11279.6,1796.0,2.23192,4.8,2004,9,154.17700000000002
9,1.76,165.9,11282.5,1839.0,2.229333,4.8,2004,10,155.75
10,1.93,165.5,11246.1,1758.0,2.293797,4.8,2004,11,157.526
11,2.16,166.3,11659.0,1921.0,2.304188,4.7,2004,12,159.329
12,2.28,168.6,11226.5,1892.0,2.308836,4.7,2005,1,161.287
13,2.5,170.4,11229.0,1908.0,2.279146,4.8,2005,2,163.343
14,2.63,170.0,11268.8,1787.0,2.238654,4.6,2005,3,165.812
15,2.79,170.0,11304.2,1927.0,2.231837,4.5,2005,4,167.50099999999998
16,3.0,168.1,11352.7,2103.0,2.350311,4.5,2005,5,169.35
17,3.04,167.8,11375.5,1965.0,2.191008,4.5,2005,6,171.19
18,3.26,167.2,11387.1,1886.0,2.292571,4.4,2005,7,172.859
19,3.5,165.9,11405.3,1952.0,2.256804,4.3,2005,8,174.44299999999998
20,3.62,168.9,11365.2,1922.0,2.326514,4.5,2005,9,176.437
21,3.78,171.6,11428.7,1962.0,2.318218,4.4,2005,10,178.02599999999998
22,4.0,172.7,11500.1,1907.0,2.424911,4.4,2005,11,179.68
23,4.16,173.5,11535.2,1941.0,2.463042,4.3,2005,12,180.909
24,4.29,177.2,11651.8,2036.0,2.444816,4.2,2006,1,182.32
